,Ticker,Basic EPS,date
507,AFBI,"['-', '1.10', '0.45', '0.05']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
508,AFCG,"['-', '1.57']","['ttm', '12/31/2021']"
509,AFG,"['-', '23.49', '8.48', '9.93', '5.94']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
510,AFIB,"['-', '-4.11', '-8.94', '-5.76', '-2.84']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
511,AFMD,"['-', '-0.48', '-0.50', '-0.50', '-0.32']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
512,AFRI,"['-', '-', '-0.00', '-0.31']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
513,AFRM,"['-', '-2.51', '-2.72', '-0.73', '-0.65']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
514,AFT,"['-', '1.27', '0.23', '1.80', '-0.26']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
515,AFYA,"['-', '2.43', '3.15', '2.03', '0.98']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
516,AGAC,"['-', '0.84']","['ttm', '12/31/2021']"
517,AGAE,"['-', '1.61', '-1.57', '-0.92', '-0.15']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
518,AGBA,"['-', '1.57', '-0.26']","['ttm', '12/31/2021', '12/31/2020']"
519,AGCB,"['-', '-0.02']","['ttm', '12/31/2021']"
520,AGCO,"['-', '11.93', '5.69', '1.64', '3.62']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
521,AGD,"['-', '3.57', '-0.20', '1.12']","['ttm', '10/31/2021', '10/31/2020', '10/31/2019']"
522,AGE,"['-', '-0.23', '-0.29', '-0.33', '-0.21']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
523,AGEN,"['-', '-0.11', '-1.05', '-0.80', '-1.44']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
524,AGFS,"['-', '-0.59', '-1.26', '-1.21', '-0.60']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
525,AGFY,"['-', '-16.90', '-17.60', '-2.40', '-0.80']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
526,AGGR,"['-', '0.03']","['ttm', '12/31/2021']"
527,AGI,"['-', '-0.17', '0.37', '0.25', '-0.19']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
528,AGIL,"['-', '-0.40', '-0.62']","['ttm', '12/31/2021', '12/31/2020']"
529,AGIO,"['-', '26.55', '-4.74', '-6.86', '-6.03']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
530,AGLE,"['-', '-1.00', '-1.52', '-2.45', '-2.13']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
531,AGM,"['-', '10.00', '8.31', '8.76', '8.91']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
532,AGNC,"['-', '1.23', '-0.66', '1.16', '0.21']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
533,AGO,"['-', '5.76', '4.22', '4.31', '4.73']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
534,AGYS,"['-', '0.19', '-1.01', '-1.47', '-0.57']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
535,AHCO,"['-', '1.12', '-1.23', '0.17', '0.07']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
536,AHG,"['-', '-2.13', '-4.38', '0.33']","['ttm', '3/31/2021', '3/31/2020', '3/31/2019']"
537,AHH,"['-', '0.22', '0.51', '0.53', '0.36']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
538,AHI,"['-', '-0.78', '-0.36', '-0.36']","['ttm', '6/30/2021', '6/30/2020', '6/30/2019']"
539,AHPI,"['-', '-', '0.42', '-0.75', '-0.53']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
540,AHT,"['-', '-12.37', '-330.00', '-158.00', '-175.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
541,AI,"['-', '-1.84', '-0.90', '-0.97', '-0.45']","['ttm', '4/30/2022', '4/30/2021', '4/30/2020', '4/30/2019']"
542,AIF,"['-', '1.27', '0.48', '2.02', '-0.05']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
543,AIG,"['-', '10.95', '-6.88', '3.79', '-0.01']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
544,AIHS,"['-', '-0.10', '-2.60', '-3.10', '-1.80']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
545,AIKI,"['-', '-1.53', '-7.48', '-28.39', '15.17']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
546,AIMD,"['-', '-0.45', '-0.60', '-0.60', '-0.60']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
547,AIO,"['-', '11.80', '0.22']","['ttm', '2/28/2021', '2/29/2020']"
548,AIRS,"['-', '-0.01', '0.10', '-0.04']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
549,AIRT,"['-', '3.79', '-2.53', '2.74', '0.44']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
550,AIT,"['-', '6.69', '3.73', '0.62', '3.72']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
551,AIU,"['-', '-754.30', '-112.49', '32.06']","['ttm', '8/31/2021', '8/31/2020', '8/31/2019']"
552,GATE,"['-', '-0.03']","['ttm', '12/31/2021']"
553,GATO,"['-', '-0.93', '-0.55', '-0.21']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
554,GATX,"['-', '4.04', '4.33', '5.92', '5.62']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
555,GAU,"['-', '-0.31', '0.26', '-0.74', '-0.64']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
556,MYSZ,"['-', '-17.75', '-27.75', '-68.75', '-75.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
557,AIZ,"['-', '10.29', '7.04', '5.87', '4.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
558,AJG,"['-', '4.47', '4.29', '3.60', '3.47']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
559,AJRD,"['-', '1.80', '1.76', '1.79', '1.80']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
560,AJX,"['-', '1.48', '1.00', '1.74', '1.50']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
561,GBIO,"['-', '-2.12', '-2.95', '-3.11', '-1.82']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
562,GBLI,"['-', '2.00', '-1.48', '4.93', '-4.02']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
563,GBNH,"['-', '-1.60', '-2.32', '-1.50', '-0.60']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
564,GCBC,"['-', '3.29', '2.81', '2.20', '2.05']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
565,NABL,"['-', '0.00', '-0.02', '-0.01', '-0.04']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
566,NAC,"['-', '-0.19', '-0.16', '2.41', '0.45']","['ttm', '2/28/2022', '2/28/2021', '2/29/2020', '2/28/2019']"
567,NAD,"['-', '1.07', '0.51', '2.13']","['ttm', '10/31/2021', '10/31/2020', '10/31/2019']"
568,AKA,"['-', '-0.06', '0.11', '0.01']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
569,AKAM,"['-', '4.01', '3.43', '2.94', '1.78']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
570,AKAN,"['-', '-', '-0.08', '-0.05']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
571,AKBA,"['-', '-1.70', '-2.77', '-2.36', '-1.47']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
572,HAYW,"['-', '0.49', '0.19', '0.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
573,AKIC,"['-', '0.86']","['ttm', '12/31/2021']"
574,AKR,"['-', '0.26', '-0.10', '0.62', '0.38']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
575,FUPBY,"['-', '0.46', '0.40', '0.41', '0.52']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
576,AKRO,"['-', '-2.89', '-2.52', '-2.90', '-3.12']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
577,AKTS,"['-', '-1.09', '-1.02', '-1.07', '-1.06']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
578,AKU,"['-', '-0.56', '-0.29', '0.10', '0.09']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
579,AKYA,"['-', '-1.65', '-0.75', '-0.63']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
580,AKZOY,"['-', '1.49', '1.10', '0.84', '9.82']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
581,AL,"['-', '3.58', '4.41', '5.14', '4.88']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
582,ALB,"['-', '1.07', '3.53', '5.03', '6.40']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
583,ALBO,"['-', '-1.77', '-6.73', '-5.04', '-3.94']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
584,ALBT,"['-', '-0.11', '-0.16', '-0.24', '-0.11']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
585,ALC,"['-', '0.77', '-1.09', '-1.34', '-0.64']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
586,ALCO,"['-', '-', '4.64', '3.16', '5.06']","['ttm', '9/30/2022', '9/30/2021', '9/30/2020', '9/30/2019']"
587,ALDX,"['-', '-1.07', '-1.11', '-2.24', '-1.79']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
588,ALE,"['-', '3.23', '3.36', '3.59', '3.39']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
589,ALEC,"['-', '-0.45', '-2.45', '-1.71', '-0.76']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
590,ALEX,"['-', '0.48', '0.08', '-0.51', '-1.02']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
591,ALG,"['-', '6.78', '4.81', '5.36', '6.30']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
592,ALGM,"['-', '0.63', '0.22', '0.18', '0.45']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
593,ALGN,"['-', '9.78', '22.55', '5.57', '5.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
594,ALGS,"['-', '-3.22', '-10.87', '-2.47', '-0.66']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
595,ALGT,"['-', '8.69', '-11.53', '14.27', '10.02']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
596,ALHC,"['-', '-1.14', '-0.15', '-0.29']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
597,ALIM,"['-', '-0.66', '-1.04', '-2.19', '3.75']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
598,ALIT,"['-', '-0.23', '0.05', '-0.05']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
599,ALIZY,"['-', '1.60', '1.65', '1.89', '1.74']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
600,ALK,"['-', '3.82', '-10.59', '6.24', '3.55']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
601,ALKS,"['-', '-0.30', '-0.70', '-1.25', '-0.90']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
602,ALKT,"['-', '-0.73', '-0.68', '-0.52']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
603,ALL,"['-', '5.04', '17.53', '14.25', '5.78']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
604,ALLE,"['-', '5.37', '3.41', '4.29', '4.58']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
605,ALLG,"['-', '-0.16', '-0.16']","['ttm', '12/31/2020', '12/31/2019']"
606,ALLK,"['-', '-5.01', '-3.10', '-1.89', '-2.20']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
607,ALLO,"['-', '-1.89', '-2.08', '-1.83', '-7.31']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
608,ALLR,"['-', '-4.19', '-1.12', '-3.16']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
609,ALLY,"['-', '8.44', '2.89', '4.36', '2.97']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
610,ALOT,"['-', '0.89', '0.18', '0.25', '0.83']","['ttm', '1/31/2022', '1/31/2021', '1/31/2020', '1/31/2019']"
611,ALPA,"['-', '-0.08']","['ttm', '12/31/2021']"
612,ALPMY,"['-', '67.08', '64.93', '104.15', '115.05']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
613,ALPN,"['-', '-1.98', '-1.34', '-2.28', '-2.63']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
614,ALPP,"['-', '-0.12', '-0.06', '-0.04', '-0.28']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
615,ALPS,"['-', '-0.70', '-0.00', '-0.00']","['ttm', '12/31/2021', '3/31/2021', '3/31/2020']"
616,ALR,"['-', '-0.95', '-0.24', '-3.99', '-14.90']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
617,HCC,"['-', '2.94', '-0.70', '5.87', '13.19']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
618,HCCI,"['-', '2.60', '0.51', '0.36', '0.64']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
619,ALRM,"['-', '1.05', '1.59', '1.11', '0.45']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
620,ALRS,"['-', '3.02', '2.57', '1.96', '1.88']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
621,HCI,"['-', '0.23', '3.55', '3.32', '2.34']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
622,ALSN,"['-', '4.13', '2.62', '4.95', '4.81']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
623,ALT,"['-', '-2.35', '-1.91', '-1.60', '-15.16']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
624,GERN,"['-', '-0.35', '-0.28', '-0.36', '-0.15']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
625,GES,"['-', '2.65', '-1.27', '1.35', '0.17']","['ttm', '1/31/2022', '1/31/2021', '1/31/2020', '1/31/2019']"
626,GET,"['-', '0.48', '0.39', '0.85', '0.74']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
627,GFI,"['-', '0.89', '0.82', '0.20', '-0.42']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
628,ALTG,"['-', '-0.74', '-0.90', '0.56', '-0.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
629,ALTO,"['-', '0.62', '-0.28', '-1.90', '-1.42']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
630,ALTR,"['-', '-0.12', '-0.14', '-0.11', '0.20']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
631,ALTU,"['-', '0.41']","['ttm', '12/31/2021']"
632,ALV,"['-', '4.97', '2.14', '5.29', '2.18']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
633,ALVO,"['-', '-0.42', '-0.70', '-0.86']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
634,ALYA,"['-', '-0.18', '-0.30', '-0.70', '-0.34']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
635,ALZN,"['-', '-0.14', '-0.06', '-0.05', '-0.05']","['ttm', '4/30/2022', '4/30/2021', '4/30/2020', '4/30/2019']"
636,AM,"['-', '0.16', '-0.26', '-0.80', '2.37']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
637,AMAL,"['-', '1.70', '1.48', '1.49', '1.47']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
638,AMAM,"['-', '-3.36', '-0.44', '-0.53']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
639,AMAO,"['-', '0.21']","['ttm', '12/31/2021']"
640,AMAT,"['-', '7.49', '6.47', '3.95', '2.89']","['ttm', '10/31/2022', '10/31/2021', '10/31/2020', '10/31/2019']"
641,AMBA,"['-', '-0.72', '-1.72', '-1.35', '-0.93']","['ttm', '1/31/2022', '1/31/2021', '1/31/2020', '1/31/2019']"
642,AMBC,"['-', '-0.61', '-9.47', '-4.69', '4.07']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
643,AMBO,"['-', '0.12', '-2.82', '-4.60', '2.18']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
644,AMBP,"['-', '-0.39', '0.18', '-0.07']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
645,AMC,"['-', '-2.47', '-20.46', '-1.44', '1.06']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
646,AMCR,"['-', '0.53', '0.60', '0.38', '0.36']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
647,AMCX,"['-', '5.92', '4.70', '6.77', '7.68']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
648,AMD,"['-', '2.61', '2.10', '0.31', '0.34']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
649,AME,"['-', '4.29', '3.80', '3.78', '3.37']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
650,AMED,"['-', '6.41', '5.64', '3.95', '3.64']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
651,AMEH,"['-', '1.69', '1.04', '0.41', '0.33']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
652,AMGN,"['-', '10.34', '12.40', '12.96', '12.70']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
653,AMH,"['-', '0.42', '0.28', '0.29', '0.08']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
654,AMIGY,"['-', '3.35', '1.79', '1.48', '1.37']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
655,AMK,"['-', '0.36', '-0.12', '-0.01', '0.52']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
656,AMKBY,"['-', '4.71', '0.72', '-0.02', '0.76']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
657,AMKR,"['-', '2.64', '1.40', '0.50', '0.53']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
658,AMLX,"['-', '-1.59', '-0.93', '-0.30']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
659,AMN,"['-', '6.87', '1.49', '2.44', '2.99']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
660,AMNB,"['-', '4.00', '2.74', '1.99', '2.60']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
661,AMOT,"['-', '1.67', '0.96', '1.21', '1.15']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
662,AMOV,"['-', '58.83', '14.01', '20.52', '13.83']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
663,AMP,"['-', '23.53', '12.39', '14.12', '14.41']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
664,AMPE,"['-', '-1.35', '-1.35', '-1.50', '6.90']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
665,AMPG,"['-', '-0.53', '-0.37', '0.00', '0.14']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
666,AMPL,"['-', '-1.46', '-0.30', '-0.34']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
667,AMPS,"['-', '0.06', '0.04']","['ttm', '12/31/2021', '12/31/2020']"
668,AMPX,"['-', '-0.12', '-0.09']","['ttm', '12/31/2021', '12/31/2020']"
669,AMPY,"['-', '-0.84', '-12.34', '-1.20', '1.91']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
670,AMR,"['-', '15.66', '-24.42', '-16.82', '27.28']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
671,AMRC,"['-', '1.38', '1.13', '0.95', '0.83']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
672,AMRK,"['-', '5.81', '9.56', '2.17', '0.16']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
673,AMRN,"['-', '0.02', '-0.05', '-0.07', '-0.39']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
674,AMRS,"['-', '-0.93', '-1.88', '-2.67', '-3.52']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
675,HE,"['-', '2.25', '1.81', '2.00', '1.85']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
676,HEAR,"['-', '1.11', '2.62', '1.24', '2.90']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
677,HERA,"['-', '0.28']","['ttm', '12/31/2021']"
678,GASS,"['-', '-0.93', '0.31', '0.05', '-0.31']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
679,HES,"['-', '1.80', '-10.08', '-1.35', '-1.13']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
680,HESM,"['-', '1.81', '1.33', '1.22', '1.27']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
681,HEXO,"['-', '-38.08', '-12.46', '-99.12', '-21.28']","['ttm', '7/31/2022', '7/31/2021', '7/31/2020', '7/31/2019']"
682,MPV,"['-', '2.39', '0.60', '1.69', '0.35']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
683,MPW,"['-', '1.11', '0.81', '0.87', '2.77']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
684,MPX,"['-', '0.85', '0.57', '0.83', '0.83']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
685,HGEN,"['-', '-4.04', '-2.42', '-0.45', '-0.65']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
686,HHR,"['-', '106.46', '34.80', '28.96', '18.99']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
687,HHS,"['-', '1.85', '-0.34', '-4.26', '2.39']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
688,AMRX,"['-', '0.07', '0.62', '-2.74', '-0.16']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
689,HI,"['-', '-', '3.34', '-0.82', '1.93']","['ttm', '9/30/2022', '9/30/2021', '9/30/2020', '9/30/2019']"
690,HIBB,"['-', '11.63', '4.49', '1.54', '1.52']","['ttm', '1/31/2022', '1/31/2021', '1/31/2020', '1/31/2019']"
691,AMS,"['-', '0.03', '-1.14', '0.11', '0.18']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
692,AMSF,"['-', '3.40', '4.49', '4.82', '3.73']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
693,AMST,"['-', '-0.39', '-0.59', '-0.27', '-0.30']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
694,AMSWA,"['-', '0.38', '0.25', '0.21', '0.22']","['ttm', '4/30/2022', '4/30/2021', '4/30/2020', '4/30/2019']"
695,AMT,"['-', '5.69', '3.81', '4.27', '2.79']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
696,AMTB,"['-', '3.04', '-0.04', '1.21', '1.08']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
697,AMTD,"['-', '9.62', '8.68', '8.68', '4.06']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
698,AMTI,"['-', '-2.67', '-2.91', '-1.59', '-1.70']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
699,AMTX,"['-', '-1.54', '-1.74', '-1.75', '-1.63']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
700,AMV,"['-', '-3.49', '-0.30']","['ttm', '12/31/2021', '12/31/2020']"
701,AMWD,"['-', '-1.79', '3.50', '4.42', '4.97']","['ttm', '4/30/2022', '4/30/2021', '4/30/2020', '4/30/2019']"
702,AMWL,"['-', '-0.69', '-2.27', '-0.56', '-0.31']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
703,AMX,"['-', '58.83', '14.01', '20.52', '13.83']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
704,AMYT,"['-', '-0.40', '-3.30', '-4.30', '-3.22']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
705,AMZN,"['-', '3.30', '2.13', '1.17', '1.03']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
706,ANAB,"['-', '-2.11', '-0.73', '-3.60', '-2.50']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
707,ANAC,"['-', '0.21']","['ttm', '12/31/2021']"
708,ANDE,"['-', '3.12', '0.23', '0.56', '1.47']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
709,ANEB,"['-', '-0.29', '-2.83']","['ttm', '6/30/2022', '6/30/2021']"
710,ANF,"['-', '4.41', '-1.82', '0.61', '1.11']","['ttm', '1/31/2022', '1/31/2021', '1/31/2020', '1/31/2019']"
711,ANGH,"['-', '-', '-0.22', '-0.26']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
712,ANGI,"['-', '-0.14', '-0.01', '0.07', '0.16']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
