,Ticker,Basic EPS,date
46,JPPYY,"['-', '-8.08', '-0.94', '-4.90', '-11.60']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
47,LTGHY,"['-', '-', '4.82', '-0.26', '7.06']","['ttm', '9/30/2022', '9/30/2021', '9/30/2020', '9/30/2019']"
48,JTKWY,"['-', '-1.12', '-0.21', '-0.40', '-0.06']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
49,GTTNQ,"['-', '-1.88', '-4.80']","['ttm', '12/31/2019', '12/31/2018']"
50,KIII,"['-', '0.10']","['ttm', '12/31/2021']"
51,KLDO,"['-', '-', '-2.44', '-3.36', '-2.71']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
52,HELFY,"['-', '0.37', '0.55', '-0.01', '-0.13']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
53,BTLCY,"['-', '1.03', '-1.11', '-1.10', '-0.30']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
54,EDNMY,"['-', '0.63', '0.48', '0.65', '0.54']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
55,OIBZQ,"['-', '-8.85', '-7.55', '50.81']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
56,LMPX,"['-', '-0.49', '-0.24', '-0.78']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
57,PHASQ,"['-', '-2.98', '-3.39', '-1.43', '-4.49']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
58,PHCF,"['-', '-2.46', '-2.10', '-1.38']","['ttm', '6/30/2021', '6/30/2020', '6/30/2019']"
59,ENDPQ,"['-', '-2.63', '0.80', '-1.87', '-4.61']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
60,ENJYQ,"['-', '-4.65', '-7.40']","['ttm', '12/31/2021', '12/31/2020']"
61,EQOSQ,"['-', '-', '-4.78', '-1.82', '0.53']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
62,NBEVQ,"['-', '-0.41', '-1.16', '-0.26']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
63,GENN,"['-', '-', '0.14', '-2.33']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
64,ODTC,"['-', '-3.84', '-4.05', '-3.64']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
65,NEWYY,"['-', '-3.60', '-60.60', '-115.60']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
66,MDLM,"['-', '-', '-6.00', '-6.50']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
67,RENO,"['-', '-0.86', '-0.62', '-0.56', '-1.11']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
68,REVRQ,"['-', '-3.84', '-11.59', '-2.97', '-5.57']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
69,JRJCY,"['-', '-4.50', '-5.00', '-9.00']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
70,KGFHY,"['-', '0.81', '0.56', '0.01', '0.21']","['ttm', '1/31/2022', '1/31/2021', '1/31/2020', '1/31/2019']"
71,KIGRY,"['-', '1.08', '0.45', '0.96', '0.84']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
72,RKUNY,"['-', '-87.62', '-84.00', '-23.55', '105.43']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
73,MBGYY,"['-', '5.38', '0.85', '0.56', '1.70']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
74,MKDTY,"['-', '-42.30', '-27.90', '-33.21']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
75,GWGHQ,"['-', '-6.01', '2.76', '-22.32']","['ttm', '12/31/2020', '12/31/2019', '12/31/2018']"
76,NCMGF,"['-', '-', '1.43', '0.83', '0.73']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
77,BN,"['-', '2.47', '-0.12', '1.77', '2.31']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
78,CBT,"['-', '-', '4.41', '-4.21', '2.75']","['ttm', '9/30/2022', '9/30/2021', '9/30/2020', '9/30/2019']"
79,EPOKY,"['-', '5.85', '4.48', '4.89', '4.50']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
80,CPG,"['-', '4.15', '-4.76', '-1.89', '-4.77']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
81,ENB,"['-', '2.87', '1.48', '2.64', '1.46']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
82,ENIC,"['-', '61.50', '-37.00', '214.00', '283.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
83,ENLC,"['-', '0.05', '-0.86', '-2.41', '-0.07']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
84,ENLV,"['-', '-0.81', '-0.90', '-8.88', '-11.20']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
85,EQIX,"['-', '5.57', '4.22', '6.03', '4.58']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
86,EQNR,"['-', '2.64', '-1.69', '0.55', '2.27']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
87,ITT,"['-', '3.68', '0.84', '3.71', '3.81']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
88,EQRX,"['-', '-0.31', '-0.80']","['ttm', '12/31/2021', '12/31/2020']"
89,EQS,"['-', '0.19', '-0.91', '0.16', '0.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
90,ERC,"['-', '1.54', '-0.10', '1.29']","['ttm', '10/31/2021', '10/31/2020', '10/31/2019']"
91,ERH,"['-', '-', '2.17', '0.95', '1.41']","['ttm', '8/31/2022', '8/31/2021', '8/31/2020', '8/31/2019']"
92,ERIC,"['-', '6.82', '5.26', '0.67', '-1.98']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
93,ERIE,"['-', '6.40', '6.30', '6.80', '6.19']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
94,ERII,"['-', '0.25', '0.47', '0.20', '0.41']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
95,ERJ,"['-', '-0.24', '-3.98', '-1.75', '-0.96']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
96,ERNA,"['-', '-56.40', '-3.51']","['ttm', '12/31/2021', '12/31/2020']"
97,ERO,"['-', '2.27', '0.60', '1.08', '-0.04']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
98,ESAB,"['-', '3.92', '2.62', '2.88']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
99,ESI,"['-', '0.82', '0.30', '0.36', '-1.13']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
100,MPLX,"['-', '2.86', '-0.80', '1.00', '2.29']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
101,ESLT,"['-', '6.21', '5.38', '5.20', '4.84']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
102,ESM,"['-', '0.15']","['ttm', '12/31/2021']"
103,EWTX,"['-', '-1.14', '-0.84', '-0.48']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
104,EXAI,"['-', '-0.99', '-0.00', '-0.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
105,EXN,"['-', '-1.77', '-0.55', '-0.50', '-0.40']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
106,EXPI,"['-', '0.56', '0.22', '-0.07', '-0.20']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
107,EXPR,"['-', '-0.22', '-6.27', '-2.49', '0.13']","['ttm', '1/31/2022', '1/31/2021', '1/31/2020', '1/31/2019']"
108,EXTR,"['-', '0.34', '0.02', '-1.06', '-0.22']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
109,BDC,"['-', '1.43', '-1.23', '-9.37', '3.10']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
110,EYE,"['-', '1.57', '0.45', '0.42', '0.31']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
111,EYEN,"['-', '-0.49', '-0.94', '-1.47', '-1.82']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
112,EYPT,"['-', '-2.03', '-3.54', '-5.40']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
113,EZFL,"['-', '-0.46', '-0.29']","['ttm', '12/31/2021', '12/31/2020']"
114,JBL,"['-', '7.06', '4.69', '0.36', '1.85']","['ttm', '8/31/2022', '8/31/2021', '8/31/2020', '8/31/2019']"
115,EZGO,"['-', '-0.27', '0.01', '0.16']","['ttm', '9/30/2021', '9/30/2020', '9/30/2019']"
116,EZPW,"['-', '-', '0.15', '-1.24', '0.05']","['ttm', '9/30/2022', '9/30/2021', '9/30/2020', '9/30/2019']"
117,FACT,"['-', '0.14']","['ttm', '12/31/2021']"
118,FAF,"['-', '11.18', '6.18', '6.26', '4.21']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
119,FAM,"['-', '-0.83', '0.39', '1.74', '-1.01']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
120,FAMI,"['-', '0.50', '1.25', '-0.75']","['ttm', '9/30/2021', '9/30/2020', '9/30/2019']"
121,FANG,"['-', '12.35', '-28.59', '1.47', '8.09']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
122,FANH,"['-', '4.60', '5.00', '3.40', '9.80']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
123,FANUY,"['-', '80.95', '49.01', '38.19', '79.53']","['ttm', '3/31/2022', '3/31/2021', '3/31/2020', '3/31/2019']"
124,FARM,"['-', '-0.89', '-2.39', '-2.19', '-4.36']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
125,FATH,"['-', '0.10', '-0.15']","['ttm', '12/31/2021', '12/31/2020']"
126,ETB,"['-', '3.12', '0.63', '2.52', '-1.02']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
127,ETD,"['-', '4.08', '2.38', '0.36', '0.96']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
128,ETG,"['-', '7.76', '-0.10', '1.99']","['ttm', '10/31/2021', '10/31/2020', '10/31/2019']"
129,ETJ,"['-', '1.20', '1.65', '1.30', '-0.22']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
130,ETN,"['-', '5.38', '3.51', '5.28', '4.93']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
131,ETNB,"['-', '-4.48', '-3.08', '-24.49', '-7.60']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
132,ETO,"['-', '10.77', '0.46', '3.83']","['ttm', '10/31/2021', '10/31/2020', '10/31/2019']"
133,ETON,"['-', '-0.08', '-1.33', '-1.03', '-5.80']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
134,ETR,"['-', '5.57', '6.94', '6.36', '4.68']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
135,ETRN,"['-', '-3.32', '1.06', '-0.80', '0.86']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
136,ETSY,"['-', '3.88', '2.88', '0.80', '0.64']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
137,FAX,"['-', '0.06', '0.10', '0.66']","['ttm', '10/31/2021', '10/31/2020', '10/31/2019']"
138,FAZE,"['-', '-1.53', '-1.77']","['ttm', '12/31/2020', '12/31/2019']"
139,FBIO,"['-', '-0.79', '-0.65', '-0.73', '-1.94']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
140,CIA,"['-', '0.74', '-0.22', '-0.03', '-0.22']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
141,FBIZ,"['-', '4.17', '1.97', '2.68', '1.86']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
142,FBK,"['-', '4.01', '1.69', '2.70', '2.60']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
143,FC,"['-', '-', '0.97', '-0.68', '-0.07']","['ttm', '8/31/2022', '8/31/2021', '8/31/2020', '8/31/2019']"
144,FCAX,"['-', '0.22']","['ttm', '12/31/2021']"
145,CNM,"['-', '0.57', '0.18', '0.15', '0.15']","['ttm', '1/31/2022', '1/31/2021', '1/31/2020', '1/31/2019']"
146,FCF,"['-', '1.47', '0.76', '1.07', '1.08']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
147,FCFS,"['-', '2.58', '2.57', '3.83', '3.42']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
148,FCN,"['-', '7.02', '5.92', '5.89', '4.06']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
149,FCRD,"['-', '0.59', '-1.17', '-0.79', '-0.32']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
150,FCT,"['-', '-', '1.45', '-0.30', '0.38']","['ttm', '5/31/2022', '5/31/2021', '5/31/2020', '5/31/2019']"
151,FCX,"['-', '2.96', '0.41', '-0.16', '1.56']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
152,FDBC,"['-', '4.51', '2.84', '3.06', '2.93']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
153,FDEU,"['-', '2.19', '-1.55', '2.97', '-3.76']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
154,FDMT,"['-', '-2.57', '-8.82', '-3.94', '-0.64']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
155,FDS,"['-', '-', '10.62', '9.81', '9.26']","['ttm', '8/31/2022', '8/31/2021', '8/31/2020', '8/31/2019']"
156,FEIM,"['-', '-0.93', '0.07', '-1.10', '-0.28']","['ttm', '4/30/2022', '4/30/2021', '4/30/2020', '4/30/2019']"
157,FEN,"['-', '2.21', '-5.53', '0.93']","['ttm', '11/30/2021', '11/30/2020', '11/30/2019']"
158,FENC,"['-', '-0.67', '-0.76', '-0.64', '-0.52']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
159,FFA,"['-', '4.35', '2.51', '4.17', '-1.48']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
160,FFBC,"['-', '2.16', '1.60', '2.01', '1.95']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
161,FFBW,"['-', '0.31', '0.26', '0.20', '0.14']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
162,FFC,"['-', '1.65', '1.61', '3.73']","['ttm', '11/30/2021', '11/30/2020', '11/30/2019']"
163,FFHL,"['-', '27.32', '6.00', '3.48', '-6.79']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
164,FFIC,"['-', '2.59', '1.18', '1.44', '1.92']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
165,FFIE,"['-', '-2.21', '-0.93']","['ttm', '12/31/2021', '12/31/2020']"
166,FFIN,"['-', '1.60', '1.42', '1.22', '1.11']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
167,FFIV,"['-', '-', '5.46', '5.05', '7.12']","['ttm', '9/30/2022', '9/30/2021', '9/30/2020', '9/30/2019']"
168,FFNW,"['-', '1.31', '0.88', '1.04', '1.44']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
169,FGBI,"['-', '2.42', '1.90', '1.34', '1.33']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
170,FGEN,"['-', '-3.14', '-2.11', '-0.89', '-1.03']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
171,FGF,"['-', '-1.96', '-4.15', '-0.18', '-0.05']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
172,FGI,"['-', '0.83', '0.50', '0.17']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
173,FHB,"['-', '2.06', '1.43', '2.14', '1.93']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
174,FHI,"['-', '2.77', '3.25', '2.69', '2.18']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
175,FHN,"['-', '1.76', '1.90', '1.39', '1.66']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
176,FIBK,"['-', '3.12', '2.53', '2.84', '2.77']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
177,FIGS,"['-', '-0.06', '0.31', '0.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
178,FINM,"['-', '0.28']","['ttm', '12/31/2021']"
179,FINS,"['-', '1.10', '-0.59', '1.35']","['ttm', '1/31/2022', '1/31/2021', '1/31/2020']"
180,FINW,"['-', '3.44', '0.85', '0.79']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
181,FIP,"['-', '-0.81', '-0.56', '0.06']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
182,FIS,"['-', '0.68', '0.26', '0.67', '2.58']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
183,FITB,"['-', '3.78', '1.84', '3.38', '3.11']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
184,FIVE,"['-', '4.98', '2.21', '3.14', '2.68']","['ttm', '1/31/2022', '1/31/2021', '1/31/2020', '1/31/2019']"
185,FIX,"['-', '3.95', '4.11', '3.10', '3.03']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
186,FIXX,"['-', '-1.73', '-2.80', '-2.47', '-2.00']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
187,FIZZ,"['-', '1.70', '1.87', '1.40', '1.51']","['ttm', '4/30/2022', '4/30/2021', '4/30/2020', '4/30/2019']"
188,FLIC,"['-', '1.82', '1.73', '1.68', '1.64']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
189,FLJ,"['-', '-58.50', '-171.00', '-89.99']","['ttm', '9/30/2021', '9/30/2020', '9/30/2019']"
190,FLME,"['-', '0.59']","['ttm', '12/31/2021']"
191,FMIV,"['-', '-0.06']","['ttm', '12/31/2021']"
192,FMN,"['-', '0.81', '0.75', '1.63']","['ttm', '11/30/2021', '11/30/2020', '11/30/2019']"
193,FMNB,"['-', '1.78', '1.48', '1.29', '1.18']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
194,FN,"['-', '5.43', '4.02', '3.07', '3.29']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
195,FNA,"['-', '-0.18', '0.04', '0.05']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019']"
196,FNGR,"['-', '-0.12', '-0.13', '-0.12', '-0.12']","['ttm', '2/28/2022', '2/28/2021', '2/29/2020', '2/28/2019']"
197,FNLC,"['-', '3.33', '2.50', '2.36', '2.18']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
198,FOF,"['-', '2.41', '0.16', '3.03', '-1.27']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
199,FOR,"['-', '-', '2.25', '1.26', '0.79']","['ttm', '9/30/2022', '9/30/2021', '9/30/2020', '9/30/2019']"
200,FORA,"['-', '-0.90', '-0.17']","['ttm', '12/31/2021', '12/31/2020']"
201,FORD,"['-', '-', '0.05', '-0.19', '-0.38']","['ttm', '9/30/2022', '9/30/2021', '9/30/2020', '9/30/2019']"
202,FORR,"['-', '1.30', '0.53', '-0.52', '0.85']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
203,FORTY,"['-', '3.57', '3.05', '2.56', '2.18']","['ttm', '12/31/2021', '12/31/2020', '12/31/2019', '12/31/2018']"
204,FOX,"['-', '2.11', '3.61', '1.62', '2.57']","['ttm', '6/30/2022', '6/30/2021', '6/30/2020', '6/30/2019']"
